iter	Passed	Remaining
0	3	354
1	7	355
2	10	333
3	20	487
4	24	468
5	31	498
6	35	476
7	39	457
8	42	433
9	50	450
10	52	428
11	56	416
12	59	399
13	66	406
14	69	391
15	73	384
16	76	372
17	82	376
18	85	365
19	89	358
20	92	347
21	98	350
22	101	340
23	105	334
24	108	325
25	115	330
26	118	321
27	122	315
28	125	308
29	132	309
30	136	303
31	140	297
32	142	290
33	149	290
34	152	283
35	156	278
36	163	278
37	166	272
38	169	265
39	173	260
40	181	260
41	184	254
42	188	249
43	191	243
44	197	241
45	200	235
46	204	230
47	207	224
48	213	222
49	216	216
50	220	211
51	223	206
52	230	204
53	234	199
54	238	195
55	241	189
56	248	187
57	251	182
58	255	177
59	258	172
60	265	169
61	267	164
62	271	159
63	274	154
64	280	151
65	283	146
66	288	142
67	291	137
68	297	133
69	300	128
70	304	124
71	307	119
72	314	116
73	317	111
74	321	107
75	324	102
76	331	99
77	335	94
78	339	90
79	346	86
80	349	81
81	353	77
82	356	72
83	362	69
84	365	64
85	368	59
86	372	55
87	375	51
88	382	47
89	385	42
90	388	38
91	391	34
92	397	29
93	401	25
94	404	21
95	407	16
96	414	12
97	417	8
98	420	4
99	423	0
